Location,Customer ID,Customer Name,Contact Type,Catalog Type,Ship To ID,Ship To Name,Sales Order,Salesman,Model,Model Description,Status,Sub Status,Invoice,Invoice Date,Price Name,Channel,State,Country,Order Qty,Order Price,Shipped Qty,Shipped Price,Shipped CBF
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,,ACOFU,ACOSTA'S FURNITURE,S70924,SRHAL2,1394-4,"NIGHT STAND, MARBLE TOP",Closed,,HE134603,03/06/2018,Unit Price,,CA,US United States,1,259.00,1,259.00,17.200
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,,ACOFU,ACOSTA'S FURNITURE,S70924,SRHAL2,1916-1,"(1/3) QN HB, GRY PU&LED&MIROR",Closed,,HE134603,03/06/2018,Unit Price,,CA,US United States,1,170.89,1,170.89,6.480
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,,ACOFU,ACOSTA'S FURNITURE,S70924,SRHAL2,1916-2,"(2/3) QN FB, CROC EMBOS&MIROR",Closed,,HE134603,03/06/2018,Unit Price,,CA,US United States,1,71.15,1,71.15,3.120
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,,ACOFU,ACOSTA'S FURNITURE,S70924,SRHAL2,1916-3,(3/3) QN RL & SL,Closed,,HE134603,03/06/2018,Unit Price,,CA,US United States,1,27.05,1,27.05,1.180
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,,ACOFU,ACOSTA'S FURNITURE,S70924,SRHAL2,1916-4,"NIGHT STAND W/LED, SILVERY GREY",Closed,,HE134603,03/06/2018,Unit Price,,CA,US United States,2,250.20,2,250.20,22.600
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,,ACOFU,ACOSTA'S FURNITURE,S70924,SRHAL2,1916-5,DRESSER,Closed,,HE134603,03/06/2018,Unit Price,,CA,US United States,1,269.10,1,269.10,32.520
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,,ACOFU,ACOSTA'S FURNITURE,S70924,SRHAL2,1916-6,"MIRROR W/LED, BEVEL",Closed,,HE134603,03/06/2018,Unit Price,,CA,US United States,1,101.70,1,101.70,3.200
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,,ACOFU,ACOSTA'S FURNITURE,S70924,SRHAL2,1924-1,"(1/2) QN HB&FB, RUSTIC PINE",Closed,,HE134603,03/06/2018,Promotional Price,,CA,US United States,1,99.88,1,99.88,11.230
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,,ACOFU,ACOSTA'S FURNITURE,S70924,SRHAL2,1924-3,(2/2) QN RL & SL,Closed,,HE134603,03/06/2018,Promotional Price,,CA,US United States,1,19.12,1,19.12,2.560
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,,ACOFU,ACOSTA'S FURNITURE,S70924,SRHAL2,1924-4,"NIGHT STAND, RUSTIC PINE",Closed,,HE134603,03/06/2018,Promotional Price,,CA,US United States,2,154.00,2,154.00,21.240
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,,ACOFU,ACOSTA'S FURNITURE,S70924,SRHAL2,1924-5,DRESSER,Closed,,HE134603,03/06/2018,Promotional Price,,CA,US United States,1,155.00,1,155.00,32.080
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,,ACOFU,ACOSTA'S FURNITURE,S70924,SRHAL2,1924-6,MIRROR,Closed,,HE134603,03/06/2018,Promotional Price,,CA,US United States,1,8.00,1,8.00,2.990
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,AMZ01;,ACOFU,ACOSTA'S FURNITURE,S70924,SRHAL2,1730-1,(1/3) QUEEN HEABOARD,Closed,,HE134603,03/06/2018,Promotional Price,,CA,US United States,1,55.88,1,55.88,7.700
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,AMZ01;,ACOFU,ACOSTA'S FURNITURE,S70924,SRHAL2,1730-2,(2/3) QUEEN FOOTBOARD W/SLATS & SUPPORT LEGS,Closed,,HE134603,03/06/2018,Promotional Price,,CA,US United States,1,29.06,1,29.06,2.310
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,AMZ01;,ACOFU,ACOSTA'S FURNITURE,S70924,SRHAL2,1730-3,(3/3) QUEEN/EK SIDE RAILS,Closed,,HE134603,03/06/2018,Promotional Price,,CA,US United States,1,34.06,1,34.06,2.300
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,AMZ01;,ACOFU,ACOSTA'S FURNITURE,S70924,SRHAL2,1730-4,NIGHT STAND,Closed,,HE134603,03/06/2018,Promotional Price,,CA,US United States,2,138.00,2,138.00,21.380
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,,ACOFU,ACOSTA'S FURNITURE,S70924,SRHAL2,1730-5,DRESSER,Closed,,HE134603,03/06/2018,Promotional Price,,CA,US United States,1,169.00,1,169.00,34.450
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,,ACOFU,ACOSTA'S FURNITURE,S70924,SRHAL2,1730-6,MIRROR,Closed,,HE134603,03/06/2018,Promotional Price,,CA,US United States,1,42.00,1,42.00,3.770
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,,ACOFU,ACOSTA'S FURNITURE,S71955,SRHAL2,1916BK-1,"(1/3) QN HB, BLK PU&LED&MIROR",Closed,,HE135714,03/13/2018,Unit Price,,CA,US United States,1,170.89,1,170.89,6.480
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,,ACOFU,ACOSTA'S FURNITURE,S71955,SRHAL2,1916BK-2,"(2/3) QN FB, CROC EMBOS&MIROR",Closed,,HE135714,03/13/2018,Unit Price,,CA,US United States,1,71.15,1,71.15,3.120
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,,ACOFU,ACOSTA'S FURNITURE,S71955,SRHAL2,1916BK-3,(3/3) QN RL & SL,Closed,,HE135714,03/13/2018,Unit Price,,CA,US United States,1,27.05,1,27.05,1.180
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,,ACOFU,ACOSTA'S FURNITURE,S71955,SRHAL2,1916BK-4,"NIGHT STAND, BLACK",Closed,,HE135714,03/13/2018,Unit Price,,CA,US United States,2,250.20,2,250.20,22.600
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,,ACOFU,ACOSTA'S FURNITURE,S71955,SRHAL2,1916BK-5,"DRESSER, BLACK",Closed,,HE135714,03/13/2018,Unit Price,,CA,US United States,1,269.10,1,269.10,32.520
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,,ACOFU,ACOSTA'S FURNITURE,S71955,SRHAL2,1916BK-6,"MIRROR, LED LIGHT, BLACK",Closed,,HE135714,03/13/2018,Unit Price,,CA,US United States,1,101.70,1,101.70,3.200
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,,ACOFU,ACOSTA'S FURNITURE,S71955,SRHAL2,1957-1,"(1/3) QN HDBD & FTBD, ALL SOLID RUBBERWD",Closed,,HE135714,03/13/2018,Unit Price,,CA,US United States,1,124.88,1,124.88,8.250
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,,ACOFU,ACOSTA'S FURNITURE,S71955,SRHAL2,1957-3,"(2/3) QN RL & SL, BURNSHD BRW",Closed,,HE135714,03/13/2018,Unit Price,,CA,US United States,1,79.06,1,79.06,4.380
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,,ACOFU,ACOSTA'S FURNITURE,S71955,SRHAL2,1957-DW,"(3/3) FTBD DRAWER FOR CK/EK/QN BEDS, 2PCS",Closed,,HE135714,03/13/2018,Unit Price,,CA,US United States,1,45.06,1,45.06,4.820
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,,ACOFU,ACOSTA'S FURNITURE,S71955,SRHAL2,2238K-1CK,"(1/3) CK HDBD, CRM BONDED LTHR",Closed,,HE135714,03/13/2018,Promotional Price,,CA,US United States,1,73.88,1,73.88,12.500
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,,ACOFU,ACOSTA'S FURNITURE,S71955,SRHAL2,2238K-2CK,"(2/3) CK L.PROFILE FTBD, CHERRY",Closed,,HE135714,03/13/2018,Promotional Price,,CA,US United States,1,35.06,1,35.06,7.660
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,,ACOFU,ACOSTA'S FURNITURE,S71955,SRHAL2,2238K-3CK,(3/3) CK RL & SL,Closed,,HE135714,03/13/2018,Promotional Price,,CA,US United States,1,36.06,1,36.06,4.290
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,AMZ01;,ACOFU,ACOSTA'S FURNITURE,S72719,SRHAL2,8511TP-2,LOVE SEAT,Closed,,HE137069,03/20/2018,Promotional Price,,CA,US United States,1,185.00,1,185.00,22.790
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,AMZ01;,ACOFU,ACOSTA'S FURNITURE,S72719,SRHAL2,8511TP-3,SOFA,Closed,,HE137069,03/20/2018,Promotional Price,,CA,US United States,1,205.00,1,205.00,30.750
"HOMELEGANCE, INC",ACOFU,ACOSTA'S FURNITURE,Local Customer;,,HMLG,"Homelegance, Inc",S70924,SRHAL2,1394-4,"NIGHT STAND, MARBLE TOP",Closed,,HR135594,03/12/2018,Unit Price,,CA,US United States,-1,-259.00,-1,-259.00,-17.200
