Item#, Price , Net ,Description,Wt. (LB),CuFt,Page
1131-24S, $ 67.00 ,,SWIVEL COUNTER HEIGHT CHAIR,26.78,2.61,D-194
1131-29S, $ 71.00 ,,SWIVEL PUB CHAIR,27.52,2.61,D-194
1133-24S, $ 71.00 ,,SWIVEL COUNTER HEIGHT CHAIR,26.45,2.82,D-194
1133-29S, $ 77.00 ,,SWIVEL PUB CHAIR,26.78,2.82,D-194
1140E-24S, $ 61.00 ,,SWIVEL COUNTER HEIGHT CHAIR,26.62,2.61,D-194
1140E-29S, $ 67.00 ,,SWIVEL PUB CHAIR,27.34,2.61,D-194
1144E-24S, $ 61.00 ,,SWIVEL COUNTER HEIGHT CHAIR,26.62,2.61,D-194
1144E-29S, $ 67.00 ,,SWIVEL PUB CHAIR,27.34,2.61,D-194
1147BLK, $ 27.00 ,,"AIRLIFT SWIVEL STOOL, BLACK",16.83,2.59,D-192
1147RED, $ 27.00 ,,"AIRLIFT SWIVEL STOOL, RED",16.83,2.59,D-192
1147WHT, $ 27.00 ,,"AIRLIFT SWIVEL STOOL, WHITE",16.83,2.59,D-192
1148BLK, $ 30.00 ,,"AIRLIFT SWIVEL STOOL, BLACK",16.28,1.99,D-193
1148RED, $ 30.00 ,,"AIRLIFT SWIVEL STOOL, RED",16.28,1.99,D-193
1148WHT, $ 30.00 ,,"AIRLIFT SWIVEL STOOL, WHITE",16.28,1.99,D-193
1149BLK, $ 37.00 ,,"AIRLIFT SWIVEL STOOL, BLACK",22.55,2.17,D-193
1149RED, $ 37.00 ,,"AIRLIFT SWIVEL STOOL, RED",22.55,2.17,D-193
1149WHT, $ 37.00 ,,"AIRLIFT SWIVEL STOOL, WHITE",22.55,2.17,D-193
1156BLK, $ 37.00 ,,"AIRLIFT SWIVEL STOOL, BLACK",23.10,1.99,D-192
1156RED, $ 37.00 ,,"AIRLIFT SWIVEL STOOL, RED",23.10,1.99,D-192
1156WHT, $ 37.00 ,,"AIRLIFT SWIVEL STOOL, WHITE",23.10,1.99,D-192
1157BRW, $ 41.00 ,,"AIRLIFT SWIVEL STOOL, BROWN",20.79,2.22,D-191
1157RED, $ 41.00 ,,"AIRLIFT SWIVEL STOOL, RED",20.79,2.22,D-191
1178BLK, $ 51.00 ,,"AIRLIFT SWIVEL STOOL, BLACK",24.00,2.43,D-191
1178RED, $ 51.00 ,,"AIRLIFT SWIVEL STOOL, RED",24.00,2.43,D-191
1178WHT, $ 51.00 ,,"AIRLIFT SWIVEL STOOL, WHITE",24.00,2.43,D-191
