Location,Customer ID,Customer Name,Contact Type,Catalog Type,Ship To ID,Ship To Name,Sales Order,Salesman,Model,Model Description,Status,Sub Status,Invoice,Invoice Date,Price Name,Channel,State,Country,Order Qty,Order Price,Shipped Qty,Shipped Price,Shipped CBF
"HOMELEGANCE TX, INC.",3SISH,3 Sisters Home Furniture,Customer-Local;,,3SISH,3 Sisters Home Furniture,S19518,SRDAS,1133-24S,SWIVEL COUNTER HEIGHT CHAIR,Closed,,HE19560,09/14/2018,Unit Price,,TX,US United States,3,195.00,3,195.00,9.015
"HOMELEGANCE TX, INC.",3SISH,3 Sisters Home Furniture,Customer-Local;,,3SISH,3 Sisters Home Furniture,S19250,SRDAS,5429-36,CNTR HGHT TBL W/ WINE RACK,Closed,,HE19816,09/21/2018,Unit Price,,TX,US United States,1,137.00,1,137.00,8.700
"HOMELEGANCE TX, INC.",3SISH,3 Sisters Home Furniture,Customer-Local;,,3SISH,3 Sisters Home Furniture,S19250,SRDAS,5429-24,"\CNTR HGHT CHAIR, ADJ HEIGHT",Closed,,HE19816,09/21/2018,Unit Price,,TX,US United States,2,106.00,2,106.00,8.440
"HOMELEGANCE TX, INC.",ABCFU,ABC Funiture,Customer-Local;,,ABCFU,ABC Funiture,S19641,SRDAS,2021FW-1,"FULL METAL PLATFORM BED, WHITE",Closed,,HE19566,09/14/2018,Promotion Price,,TX,US United States,2,118.00,2,118.00,6.717
"HOMELEGANCE TX, INC.",AFOFU,"Affordable Fine Furniture, LLC",Customer-Local;,,AFOFU,"Affordable Fine Furniture, LLC",S19763,SRDAS,8233TT-2,"LOVE SEAT, BRW FABRIC & D. BRW P/U",Closed,,HE19687,09/18/2018,Unit Price,,TX,US United States,1,344.00,1,344.00,37.520
"HOMELEGANCE TX, INC.",AFOFU,"Affordable Fine Furniture, LLC",Customer-Local;,,AFOFU,"Affordable Fine Furniture, LLC",S19763,SRDAS,8233TT-3,SOFA,Closed,,HE19687,09/18/2018,Unit Price,,TX,US United States,1,365.00,1,365.00,49.570
"HOMELEGANCE TX, INC.",ALAMF,Alamo Furniture,Customer-Local;,,ALAMF,Alamo Furniture,S19681,SRDAS,1958-15C,(1/4) CNTR VANITY W/ DRWR & GLS TOP,Closed,,HE19608,09/17/2018,Unit Price,,TX,US United States,1,58.00,1,58.00,3.740
"HOMELEGANCE TX, INC.",ALAMF,Alamo Furniture,Customer-Local;,,ALAMF,Alamo Furniture,S19681,SRDAS,1958-15L,"(2/4) LSF VANITY UNIT, ACRYLIC",Closed,,HE19608,09/17/2018,Unit Price,,TX,US United States,1,126.00,1,126.00,10.450
"HOMELEGANCE TX, INC.",ALAMF,Alamo Furniture,Customer-Local;,,ALAMF,Alamo Furniture,S19681,SRDAS,1958-15R,"(3/4) RSF VANITY UNIT, ACRYLIC",Closed,,HE19608,09/17/2018,Unit Price,,TX,US United States,1,126.00,1,126.00,10.450
"HOMELEGANCE TX, INC.",ALAMF,Alamo Furniture,Customer-Local;,,ALAMF,Alamo Furniture,S19681,SRDAS,1958-15M,(4/4) VANITY MIRROR W/ HOOKS @ BACK,Closed,,HE19608,09/17/2018,Unit Price,,TX,US United States,1,150.00,1,150.00,5.680
