Location,Customer ID,Customer Name,Contact Type,Catalog Type,Ship To ID,Ship To Name,Sales Order,Salesman,Model,Model Description,Status,Sub Status,Invoice,Invoice Date,Price Name,Channel,State,Country,Order Qty,Order Price,Shipped Qty,Shipped Price,Shipped CBF
"HOMELEGANCE TX, INC.",3SISH,3 Sisters Home Furniture,Customer-Local;,,3SISH,3 Sisters Home Furniture,S21429,SRDAS,1845LED-1,"(1/3)QN HB,WHT PU&LED & MIRROR",Closed,,HE22331,12/04/2018,Unit Price,,TX,US United States,1,223.00,1,223.00,6.331
"HOMELEGANCE TX, INC.",3SISH,3 Sisters Home Furniture,Customer-Local;,,3SISH,3 Sisters Home Furniture,S21429,SRDAS,1845-2,(2/3) QN FTBD,Closed,,HE22331,12/04/2018,Unit Price,,TX,US United States,1,128.00,1,128.00,4.714
"HOMELEGANCE TX, INC.",3SISH,3 Sisters Home Furniture,Customer-Local;,,3SISH,3 Sisters Home Furniture,S21429,SRDAS,1845-3,(3/3) QN RAILS & SL,Closed,,HE22331,12/04/2018,Unit Price,,TX,US United States,1,48.00,1,48.00,1.916
"HOMELEGANCE TX, INC.",3SISH,3 Sisters Home Furniture,Customer-Local;,,3SISH,3 Sisters Home Furniture,S21429,SRDAS,1845-4,NIGHT STAND,Closed,,HE22331,12/04/2018,Unit Price,,TX,US United States,1,137.00,1,137.00,11.036
"HOMELEGANCE TX, INC.",3SISH,3 Sisters Home Furniture,Customer-Local;,,3SISH,3 Sisters Home Furniture,S21429,SRDAS,1845-5,DRESSER,Closed,,HE22331,12/04/2018,Unit Price,,TX,US United States,1,370.00,1,370.00,32.900
"HOMELEGANCE TX, INC.",3SISH,3 Sisters Home Furniture,Customer-Local;,,3SISH,3 Sisters Home Furniture,S21429,SRDAS,1845-9,CHEST,Closed,,HE22331,12/04/2018,Unit Price,,TX,US United States,1,305.00,1,305.00,25.330
"HOMELEGANCE TX, INC.",3SISH,3 Sisters Home Furniture,Customer-Local;,,3SISH,3 Sisters Home Furniture,S21429,SRDAS,5573,"5PC PACK DINETTE, CURVE",Closed,,HE22331,12/04/2018,Promotion Price,,TX,US United States,1,149.00,1,149.00,13.909
"HOMELEGANCE TX, INC.",A1FUR,A1 Furniture,Customer-Local;,,A1FUR,A1 Furniture,S21315,SRDAS,1978W-1,(1/3) QN HEADBOARD,Closed,,HE21645,11/13/2018,Unit Price,,TX,US United States,1,293.00,1,293.00,15.531
"HOMELEGANCE TX, INC.",A1FUR,A1 Furniture,Customer-Local;,,A1FUR,A1 Furniture,S21315,SRDAS,1978W-2,(2/3) QN FOOTBOARD,Closed,,HE21645,11/13/2018,Unit Price,,TX,US United States,1,98.00,1,98.00,8.942
"HOMELEGANCE TX, INC.",A1FUR,A1 Furniture,Customer-Local;,,A1FUR,A1 Furniture,S21315,SRDAS,1978W-3,(3/3) QN RAILS W/ SLATS,Closed,,HE21645,11/13/2018,Unit Price,,TX,US United States,1,48.00,1,48.00,5.265
"HOMELEGANCE TX, INC.",A1FUR,A1 Furniture,Customer-Local;,,A1FUR,A1 Furniture,S21315,SRDAS,1978W-4,NIGHT STAND,Closed,,HE21645,11/13/2018,Unit Price,,TX,US United States,1,216.00,1,216.00,16.997
"HOMELEGANCE TX, INC.",A1FUR,A1 Furniture,Customer-Local;,,A1FUR,A1 Furniture,S21315,SRDAS,1978W-5,DRESSER,Closed,,HE21645,11/13/2018,Unit Price,,TX,US United States,1,419.00,1,419.00,41.308
"HOMELEGANCE TX, INC.",A1FUR,A1 Furniture,Customer-Local;,,A1FUR,A1 Furniture,S21315,SRDAS,1978W-6,MIRROR,Closed,,HE21645,11/13/2018,Unit Price,,TX,US United States,1,125.00,1,125.00,6.939
"HOMELEGANCE TX, INC.",AFOFU,"Affordable Fine Furniture, LLC",Customer-Local;,,AFOFU,"Affordable Fine Furniture, LLC",S19764,SRDAS,8233TT-5,CHAISE,Closed,,HE20413,10/10/2018,Unit Price,,TX,US United States,1,300.00,1,300.00,35.030
"HOMELEGANCE TX, INC.",AFOFU,"Affordable Fine Furniture, LLC",Customer-Local;,,AFOFU,"Affordable Fine Furniture, LLC",S20513,SRDAS,1916BK-5,"DRESSER, BLACK",Closed,,HE20592,10/15/2018,Promotion Price,,TX,US United States,1,275.00,1,275.00,32.422
"HOMELEGANCE TX, INC.",AFOFU,"Affordable Fine Furniture, LLC",Customer-Local;,,AFOFU,"Affordable Fine Furniture, LLC",S20513,SRDAS,1916BK-6,"MIRROR, LED LIGHT, BLACK",Closed,,HE20592,10/15/2018,Promotion Price,,TX,US United States,1,95.00,1,95.00,3.161
"HOMELEGANCE TX, INC.",AFOFU,"Affordable Fine Furniture, LLC",Customer-Local;,,AFOFU,"Affordable Fine Furniture, LLC",S21687,SRDAS,1958-96,"DINING TBL, 18"" LF, ACRYLIC, SILVER",Closed,,HE21955,11/21/2018,Unit Price,,TX,US United States,1,329.00,1,329.00,20.820
"HOMELEGANCE TX, INC.",AFOFU,"Affordable Fine Furniture, LLC",Customer-Local;,,AFOFU,"Affordable Fine Furniture, LLC",S21687,SRDAS,1958S,"\SIDE CHAIR, P/U, ACRYLIC",Closed,,HE21955,11/21/2018,Unit Price,,TX,US United States,4,340.00,4,340.00,16.560
"HOMELEGANCE TX, INC.",AFOFU,"Affordable Fine Furniture, LLC",Customer-Local;,,AFOFU,"Affordable Fine Furniture, LLC",S21687,SRDAS,1958A,"\ARM CHAIR, P/U, ACRYLIC",Closed,,HE21955,11/21/2018,Unit Price,,TX,US United States,2,186.00,2,186.00,8.540
"HOMELEGANCE TX, INC.",ALAMF,Alamo Furniture,Customer-Local;,,ALAMF,Alamo Furniture,S22047,SRDAS,1958K-1,"(1/3) CK/EK UPH HB, P/U, SILVER",Closed,,HE22301,12/03/2018,Unit Price,,TX,US United States,1,258.00,1,258.00,14.940
"HOMELEGANCE TX, INC.",ALAMF,Alamo Furniture,Customer-Local;,,ALAMF,Alamo Furniture,S22047,SRDAS,1958K-2,"(2/3) CK/EK FB & SL, ACRYLIC",Closed,,HE22301,12/03/2018,Unit Price,,TX,US United States,1,129.00,1,129.00,5.500
"HOMELEGANCE TX, INC.",ALAMF,Alamo Furniture,Customer-Local;,,ALAMF,Alamo Furniture,S22047,SRDAS,1958-3,(3/3) EK/QN RL,Closed,,HE22301,12/03/2018,Unit Price,,TX,US United States,1,42.00,1,42.00,2.660
"HOMELEGANCE TX, INC.",ALAMF,Alamo Furniture,Customer-Local;,,ALAMF,Alamo Furniture,S22047,SRDAS,1958-5,DRESSER,Closed,,HE22301,12/03/2018,Unit Price,,TX,US United States,1,308.00,1,308.00,32.690
"HOMELEGANCE TX, INC.",ALAMF,Alamo Furniture,Customer-Local;,,ALAMF,Alamo Furniture,S22047,SRDAS,1958-4,"NIGHT STAND, ACRYLIC, SILVER",Closed,,HE22301,12/03/2018,Unit Price,,TX,US United States,1,153.00,1,153.00,10.810
"HOMELEGANCE TX, INC.",ALAMF,Alamo Furniture,Customer-Local;,,ALAMF,Alamo Furniture,S22106,SRDAS,1958-4,"NIGHT STAND, ACRYLIC, SILVER",Closed,,HE23110,12/28/2018,Unit Price,,TX,US United States,1,153.00,1,153.00,10.810
"HOMELEGANCE TX, INC.",ALAMF,Alamo Furniture,Customer-Local;,,ALAMF,Alamo Furniture,S22835,SRDAS,8490-RC,"(2/6) RSF CHAISE,PUSH BCK RCLNR",Closed,,HE23178,12/31/2018,Unit Price,,TX,US United States,1,281.00,1,281.00,37.200
"HOMELEGANCE TX, INC.",ALAMF,Alamo Furniture,Customer-Local;,,ALAMF,Alamo Furniture,S22835,SRDAS,8490-AC,(3/6) ARMLESS CHAIR            R14,Closed,,HE23178,12/31/2018,Unit Price,,TX,US United States,1,146.00,1,146.00,17.700
"HOMELEGANCE TX, INC.",ALAMF,Alamo Furniture,Customer-Local;,,ALAMF,Alamo Furniture,S22835,SRDAS,8490-CR,(6/6) CORNER SEAT              R14,Closed,,HE23178,12/31/2018,Unit Price,,TX,US United States,1,252.00,1,252.00,33.500
"HOMELEGANCE TX, INC.",ALAMF,Alamo Furniture,Customer-Local;,,ALAMF,Alamo Furniture,S22835,SRDAS,8490-LR,(1/6) LSF RECLINING CHAIR      R14,Closed,,HE23178,12/31/2018,Unit Price,,TX,US United States,1,216.00,1,216.00,24.200
"HOMELEGANCE TX, INC.",ALAMF,Alamo Furniture,Customer-Local;,,ALAMF,Alamo Furniture,S22835,SRDAS,8490-CN,(5/6) CONSOLE                  R14,Closed,,HE23178,12/31/2018,Unit Price,,TX,US United States,1,79.00,1,79.00,6.600
"HOMELEGANCE TX, INC.",ALAMF,Alamo Furniture,Customer-Local;,,ALAMF,Alamo Furniture,S22835,SRDAS,8490-AR,(4/6) ARMLESS RECLINING CHAIR  R14,Closed,,HE23178,12/31/2018,Unit Price,,TX,US United States,1,174.00,1,174.00,17.700
"HOMELEGANCE TX, INC.",ALLAY,All about You,Customer-Designer;Customer-Local;,,ALLAY,All about You,S20001,SRDAS,5602-24BK,"SWIVEL CNTR HGHT CHR, ANT.GRAY SAND THRU+ANTQ BLACK",Closed,,HE20848,10/22/2018,Unit Price,,TX,US United States,4,216.00,4,216.00,8.200
"HOMELEGANCE TX, INC.",ALLAY,All about You,Customer-Designer;Customer-Local;,,ALLAY,All about You,S20001,SRDAS,2147SG-4,"NIGHT STAND, STAINED GREY",Closed,,HE20848,10/22/2018,Unit Price,,TX,US United States,2,104.00,2,104.00,13.617
"HOMELEGANCE TX, INC.",ALLAY,All about You,Customer-Designer;Customer-Local;,,ALLAY,All about You,S20140,SRDAS,5874FTE-1,"(1/2) FULL HDBD, TEAL",Closed,,HE21433,11/07/2018,Unit Price,,TX,US United States,2,178.00,2,178.00,18.580
"HOMELEGANCE TX, INC.",ALLAY,All about You,Customer-Designer;Customer-Local;,,ALLAY,All about You,S20140,SRDAS,5874FTE-3,"(2/2) FULL FTBD & RL & SL, TEAL",Closed,,HE21433,11/07/2018,Unit Price,,TX,US United States,2,160.00,2,160.00,12.060
"HOMELEGANCE TX, INC.",ALLAY,All about You,Customer-Designer;Customer-Local;,,ALLAY,All about You,S20140,SRDAS,1821K-1,"(1/3) CK/EK HDBD, PLATFORM",Closed,,HE21433,11/07/2018,Unit Price,,TX,US United States,1,297.00,1,297.00,23.400
"HOMELEGANCE TX, INC.",ALLAY,All about You,Customer-Designer;Customer-Local;,,ALLAY,All about You,S20140,SRDAS,1821K-2,(2/3) CK/EK FB & SLATS,Closed,,HE21433,11/07/2018,Unit Price,,TX,US United States,1,173.00,1,173.00,11.900
"HOMELEGANCE TX, INC.",ALLAY,All about You,Customer-Designer;Customer-Local;,,ALLAY,All about You,S20140,SRDAS,1821-3,(3/3) EK/QUEEN RAILS,Closed,,HE21433,11/07/2018,Unit Price,,TX,US United States,1,59.00,1,59.00,2.462
"HOMELEGANCE TX, INC.",ALLAY,All about You,Customer-Designer;Customer-Local;,,ALLAY,All about You,S20140,SRDAS,5438-30,CKTL TBL,Closed,,HE21433,11/07/2018,Unit Price,,TX,US United States,1,130.00,1,130.00,5.715
"HOMELEGANCE TX, INC.",ALLAY,All about You,Customer-Designer;Customer-Local;,,ALLAY,All about You,S20140,SRDAS,5438-04,END TBL,Closed,,HE21433,11/07/2018,Unit Price,,TX,US United States,1,115.00,1,115.00,4.950
