Location,Customer ID,Customer Name,Contact Type,Catalog Type,Ship To ID,Ship To Name,Sales Order,Salesman,Model,Model Description,Status,Sub Status,Invoice,Invoice Date,Price Name,Channel,State,Country,Order Qty,Order Price,Shipped Qty,Shipped Price,Shipped CBF
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S74207,SRHAL2,2220-1,"(1/2) QN UPH PLFM HB&FB, BK PVC",Closed,,HE140861,04/05/2018,Promotional Price,,CA,US United States,1,49.35,1,49.35,6.850
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S74207,SRHAL2,2220-3,(2/2) QN UPH RL & SL           C5,Closed,,HE140861,04/05/2018,Promotional Price,,CA,US United States,1,33.10,1,33.10,3.110
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S74207,SRHAL2,2220-4,"NIGHT STAND, BLK PVC",Closed,,HE140861,04/05/2018,Promotional Price,,CA,US United States,1,37.83,1,37.83,4.730
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S74207,SRHAL2,2220-5,DRESSER,Closed,,HE140861,04/05/2018,Promotional Price,,CA,US United States,1,99.91,1,99.91,18.100
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S74207,SRHAL2,2220-6,MIRROR,Closed,,HE140861,04/05/2018,Promotional Price,,CA,US United States,1,21.34,1,21.34,1.590
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S74207,SRHAL2,2220-9,CHEST,Closed,,HE140861,04/05/2018,Promotional Price,,CA,US United States,1,86.33,1,86.33,13.800
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S74207,SRHAL2,8367TP-3,"(1/2)  LSF/RSF 3-SEATER, REVERSIBLE, TAUPE FABRIC",Closed,,HE140861,04/05/2018,Promotional Price,,CA,US United States,1,145.38,1,145.38,25.090
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S74207,SRHAL2,8367TP-5,"(2/2) LSF/RSF CHAISE, REVERSIBLE, TAUPE FABRIC",Closed,,HE140861,04/05/2018,Promotional Price,,CA,US United States,1,144.65,1,144.65,24.250
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;AMZ02;,209SKW,209 FURNITURE,S74207,SRHAL2,9940BK-3,"SOFA, BLACK P/U",Closed,,HE140861,04/05/2018,Promotional Price,,CA,US United States,1,155.20,1,155.20,33.960
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;AMZ02;,209SKW,209 FURNITURE,S74207,SRHAL2,9979DGY-3,"SOFA, DARK GRAY 100% POLYESTER",Closed,,HE140861,04/05/2018,Promotional Price,,CA,US United States,1,115.43,1,115.43,22.450
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S74207,SRHAL2,1881PU-1,"(1/2) QN PLFM HB, D.BRW P/U",Closed,,HE140861,04/05/2018,Unit Price,,CA,US United States,1,40.62,1,40.62,5.400
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S74207,SRHAL2,1881PU-3,(2/2) QN FB & RL & SL,Closed,,HE140861,04/05/2018,Unit Price,,CA,US United States,1,45.71,1,45.71,3.830
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S74207,SRHAL2,2220-1,"(1/2) QN UPH PLFM HB&FB, BK PVC",Closed,,HE140861,04/05/2018,Promotional Price,,CA,US United States,1,49.35,1,49.35,6.850
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S74207,SRHAL2,2220-3,(2/2) QN UPH RL & SL           C5,Closed,,HE140861,04/05/2018,Promotional Price,,CA,US United States,1,33.10,1,33.10,3.110
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S74207,SRHAL2,8205BR-1,"RECLINING CHAIR, BROWN",Closed,,HE140861,04/05/2018,Promotional Price,,CA,US United States,1,82.45,1,82.45,14.160
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S74207,SRHAL2,8205CH-1,"RECLINING CHAIR, CHOCOLATE",Closed,,HE140861,04/05/2018,Promotional Price,,CA,US United States,1,82.45,1,82.45,14.160
