Location,Customer ID,Customer Name,Contact Type,Catalog Type,Ship To ID,Ship To Name,Sales Order,Salesman,Model,Model Description,Status,Sub Status,Invoice,Invoice Date,Price Name,Channel,State,Country,Order Qty,Order Price,Shipped Qty,Shipped Price,Shipped CBF
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S85213,SRHAL2,2049T-1,"TWIN METAL PLFM BED, SILVER",Closed,,HE160635,08/02/2018,Unit Price,,CA,US United States,1,66.93,1,66.93,3.532
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S85213,SRHAL2,8216DG-2,LOVE SEAT,Closed,,HE160635,08/02/2018,Promotional Price,,CA,US United States,1,173.63,1,173.63,28.110
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S85213,SRHAL2,8216DG-3,SOFA,Closed,,HE160635,08/02/2018,Promotional Price,,CA,US United States,2,386.06,2,386.06,64.480
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S85213,SRHAL2,8490-LC,"(1/6) LSF CHAISE,PUSH BCK RCLNRR14",Closed,,HE160635,08/02/2018,Promotional Price,,CA,US United States,1,212.31,1,212.31,37.200
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S85213,SRHAL2,8490-RR,(2/6) RSF RECLINING CHAIR      R14,Closed,,HE160635,08/02/2018,Promotional Price,,CA,US United States,1,163.00,1,163.00,24.200
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S85213,SRHAL2,8490-AC,(3/6) ARMLESS CHAIR            R14,Closed,,HE160635,08/02/2018,Promotional Price,,CA,US United States,1,111.55,1,111.55,17.700
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S85213,SRHAL2,8490-AR,(4/6) ARMLESS RECLINING CHAIR  R14,Closed,,HE160635,08/02/2018,Promotional Price,,CA,US United States,1,130.95,1,130.95,17.700
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S85213,SRHAL2,8490-CN,(5/6) CONSOLE                  R14,Closed,,HE160635,08/02/2018,Promotional Price,,CA,US United States,1,61.15,1,61.15,6.600
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S85213,SRHAL2,8490-CR,(6/6) CORNER SEAT              R14,Closed,,HE160635,08/02/2018,Promotional Price,,CA,US United States,1,192.10,1,192.10,33.500
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S85213,SRHAL2,1824K-1,(1/5) EK/CK HDBD W/RESIN DECORATION,Closed,,HE160635,08/02/2018,Unit Price,,CA,US United States,1,199.70,1,199.70,18.593
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S85213,SRHAL2,1824K-2,(2/5) EK/CK FTBD W/RESIN DECORATION & SL,Closed,,HE160635,08/02/2018,Unit Price,,CA,US United States,1,150.38,1,150.38,11.340
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S85213,SRHAL2,1824-3,(3/5) EK/QN RAILS WITH MOLDING,Closed,,HE160635,08/02/2018,Unit Price,,CA,US United States,1,48.53,1,48.53,3.878
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S85213,SRHAL2,1824-1P,(4/5) KING/QN HDBD POSTS,Closed,,HE160635,08/02/2018,Unit Price,,CA,US United States,1,105.76,1,105.76,6.424
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S85213,SRHAL2,1824-2P,(5/5) KING/QN FTBD POSTS,Closed,,HE160635,08/02/2018,Unit Price,,CA,US United States,1,76.66,1,76.66,4.400
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S85213,SRHAL2,1824-4,NIGHT STAND,Closed,,HE160635,08/02/2018,Unit Price,,CA,US United States,2,347.26,2,347.26,24.318
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S85213,SRHAL2,1824-5,DRESSER,Closed,,HE160635,08/02/2018,Unit Price,,CA,US United States,1,387.03,1,387.03,37.956
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S85213,SRHAL2,1824-6,MIRROR,Closed,,HE160635,08/02/2018,Unit Price,,CA,US United States,1,118.34,1,118.34,9.616
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S85213,SRHAL2,8230BLK-2,D. GLDR RCLNR LOVE SEAT W/CONSOLE,Closed,,HE160635,08/02/2018,Promotional Price,,CA,US United States,1,319.13,1,319.13,34.560
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S85213,SRHAL2,8230BLK-3,D. RCLNR SOFA,Closed,,HE160635,08/02/2018,Promotional Price,,CA,US United States,1,319.13,1,319.13,38.510
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S85774,SRHAL2,8367TP-3,"(1/2)  LSF/RSF 3-SEATER, REVERSIBLE, TAUPE FABRIC",Closed,,HE160639,08/02/2018,Promotional Price,,CA,US United States,1,145.38,1,145.38,25.090
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S85774,SRHAL2,8367TP-5,"(2/2) LSF/RSF CHAISE, REVERSIBLE, TAUPE FABRIC",Closed,,HE160639,08/02/2018,Promotional Price,,CA,US United States,1,144.65,1,144.65,24.250
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;AMZ02;,209SKW,209 FURNITURE,S86234,SRHAL2,5545A,ARM CHAIR,Closed,,HE161367,08/07/2018,Unit Price,,CA,US United States,2,145.50,2,145.50,17.669
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S86234,SRHAL2,1730-1,(1/3) QUEEN HEABOARD,Closed,,HE161367,08/07/2018,Promotional Price,,CA,US United States,1,48.38,1,48.38,7.700
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S86234,SRHAL2,1730-2,(2/3) QUEEN FOOTBOARD W/SLATS & SUPPORT LEGS,Closed,,HE161367,08/07/2018,Promotional Price,,CA,US United States,1,28.19,1,28.19,2.310
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;AMZ02;,209SKW,209 FURNITURE,S86234,SRHAL2,1730-3,(3/3) QUEEN/EK SIDE RAILS,Closed,,HE161367,08/07/2018,Promotional Price,,CA,US United States,1,38.86,1,38.86,2.300
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S86234,SRHAL2,1708K-1,(1/3) EK/CK W/ UPH P/U HDBD,Closed,,HE161367,08/07/2018,Unit Price,,CA,US United States,1,116.28,1,116.28,13.162
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S86234,SRHAL2,1708K-2,(2/3) EK/CK W/ UPH P/U FTBD,Closed,,HE161367,08/07/2018,Unit Price,,CA,US United States,1,52.44,1,52.44,4.107
