Location,Customer ID,Customer Name,Contact Type,Catalog Type,Ship To ID,Ship To Name,Sales Order,Salesman,Model,Model Description,Status,Sub Status,Invoice,Invoice Date,Price Name,Channel,State,Country,Order Qty,Order Price,Shipped Qty,Shipped Price,Shipped CBF
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S66789,SRHAL2,8327BLK-CR,"(2/3) CORNER SEAT, BLK LEATHER GEL MATCH",Closed,,HE127616,01/23/2018,Promotional Price,,CA,US United States,1,118.40,1,118.40,20.880
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S66789,SRHAL2,8327BLK-L,"(1/3) LSF 2-SEATER, BLK LTHR GEL MTCH",Closed,,HE127616,01/23/2018,Promotional Price,,CA,US United States,1,134.71,1,134.71,25.040
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S66789,SRHAL2,8327BLK-R,"(3/3) RSF 2-SEATER, BLK LTHR GEL MTCH",Closed,,HE127616,01/23/2018,Promotional Price,,CA,US United States,1,133.92,1,133.92,25.040
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S66789,SRHAL2,5790K-1CK,"(1/2) CK PLTFRM HB & FB, P/U",Closed,,HE127616,01/23/2018,Promotional Price,,CA,US United States,1,77.48,1,77.48,5.430
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S66789,SRHAL2,5790K-3CK,(2/2) CK RL & SL,Closed,,HE127616,01/23/2018,Promotional Price,,CA,US United States,1,47.65,1,47.65,2.510
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S66789,SRHAL2,8367CH-4,"OTTOMAN, CHOC FABRIC",Closed,,HE127616,01/23/2018,Promotional Price,,CA,US United States,1,48.50,1,48.50,8.890
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S66789,SRHAL2,2147FW-1,"(1/2) FL HB & FB, L.PHILIP, WHT",Closed,,HE127616,01/23/2018,Unit Price,,CA,US United States,1,96.88,1,96.88,5.800
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S66789,SRHAL2,2147FW-3,"(2/2) FULL RL & SL, WHT",Closed,,HE127616,01/23/2018,Unit Price,,CA,US United States,1,28.25,1,28.25,1.050
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S66789,SRHAL2,2147W-1,"(1/2) QN HB & FB, L.PHILIP, WHT",Closed,,HE127616,01/23/2018,Unit Price,,CA,US United States,1,96.88,1,96.88,6.440
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S66789,SRHAL2,2147W-3,"(2/2) QN RL & SL, WHITE",Closed,,HE127616,01/23/2018,Unit Price,,CA,US United States,1,28.25,1,28.25,1.120
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S66789,SRHAL2,2147W-4,NIGHT STAND,Closed,,HE127616,01/23/2018,Unit Price,,CA,US United States,1,57.23,1,57.23,7.000
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,,209SKW,209 FURNITURE,S66789,SRHAL2,2147W-5,DRESSER,Closed,,HE127616,01/23/2018,Unit Price,,CA,US United States,1,134.83,1,134.83,23.670
"HOMELEGANCE, INC",209SK,209 FURNITURE,Local Customer;,AMZ01;,209SKW,209 FURNITURE,S66789,SRHAL2,8329CH-2,D. RCLNR LOVE SEAT,Closed,,HE127616,01/23/2018,Promotional Price,,CA,US United States,1,212.43,1,212.43,25.000
