Location,Customer ID,Customer Name,Contact Type,Catalog Type,Ship To ID,Ship To Name,Sales Order,Salesman,Model,Model Description,Status,Sub Status,Invoice,Invoice Date,Price Name,Channel,State,Country,Order Qty,Order Price,Shipped Qty,Shipped Price,Shipped CBF
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S90664,SRMAR,8480BRW-2,"D.RCLNR LS,D.BRW LTHR GEL MATCH",Closed,,HE169641,10/01/2018,Promotional Price,,CA,US United States,1,359.00,1,359.00,39.500
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S90664,SRMAR,8480BRW-3,"D.RCLINR SOFA,D.BRW LTHR GEL M.",Closed,,HE169641,10/01/2018,Promotional Price,,CA,US United States,1,379.00,1,379.00,53.500
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S90664,SRMAR,586S,SIDE CHAIR,Closed,,HE169641,10/01/2018,Promotional Price,,CA,US United States,2,60.00,2,60.00,4.508
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S90664,SRMAR,2159-9,CHEST,Closed,,HE169641,10/01/2018,Unit Price,,CA,US United States,1,289.00,1,289.00,25.550
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S90664,SRMAR,1614SL-1,(1/3) QUEEN SLEIGH UPHOLSTERED HEADBOARD,Closed,,HE169641,10/01/2018,Unit Price,,CA,US United States,1,215.89,1,215.89,15.260
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S90664,SRMAR,1614SL-2,(2/3) QUEEN SLEIGH FOOTBOARD W/SLATS,Closed,,HE169641,10/01/2018,Unit Price,,CA,US United States,1,180.05,1,180.05,18.290
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S90664,SRMAR,1614SL-3,(3/3) QUEEN/EK SIDE RAILS,Closed,,HE169641,10/01/2018,Unit Price,,CA,US United States,1,53.15,1,53.15,3.840
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S90664,SRMAR,1614-4,NIGHT STAND,Closed,,HE169641,10/01/2018,Unit Price,,CA,US United States,2,286.20,2,286.20,22.240
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S90664,SRMAR,1614-5,DRESSER,Closed,,HE169641,10/01/2018,Unit Price,,CA,US United States,1,305.10,1,305.10,35.887
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S90664,SRMAR,1614-6,MIRROR,Closed,,HE169641,10/01/2018,Unit Price,,CA,US United States,1,91.80,1,91.80,6.392
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S91357,SRMAR,8334DBR-2,D. GLDR RCLNR LOVE SEAT W/CONSOLE,Closed,,HE170759,10/08/2018,Promotional Price,,CA,US United States,1,329.00,1,329.00,33.900
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S91357,SRMAR,8334DBR-3,D. RCLNR SOFA W/ DROP DOWN CUP HOLDR,Closed,,HE170759,10/08/2018,Promotional Price,,CA,US United States,1,329.00,1,329.00,38.200
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S91357,SRMAR,1614SL-2,(2/3) QUEEN SLEIGH FOOTBOARD W/SLATS,Closed,,HE170759,10/08/2018,Unit Price,,CA,US United States,1,200.06,1,200.06,18.290
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S91357,SRMAR,8480BRW-3,"D.RCLINR SOFA,D.BRW LTHR GEL M.",Closed,,HE170759,10/08/2018,Promotional Price,,CA,US United States,1,379.00,1,379.00,53.500
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,,ACEFA,ACE FURNITURE,S91357,SRMAR,4966DG-A,(1/2) DAYBED SIDE ARMS & SIDE PANELS & SLATS + TRUNDLE SIDE PANELS,Closed,,HE170759,10/08/2018,Promotional Price,,CA,US United States,1,159.88,1,159.88,11.675
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,AMZ01;,ACEFA,ACE FURNITURE,S91357,SRMAR,4966DG-B,(2/2) DAYBED BACK PANEL & RAILS + TRUNDLE FRONT/BACK PANEL,Closed,,HE170759,10/08/2018,Promotional Price,,CA,US United States,1,39.12,1,39.12,7.770
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,LEXKQ01;,ACEFA,ACE FURNITURE,S91357,SRMAR,MT-G08T,"8"" TWIN MATTRESS 2""+6""",Closed,,HE170759,10/08/2018,Promotional Price,,CA,US United States,1,109.00,1,109.00,4.930
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,LEXKQ01;,ACEFA,ACE FURNITURE,S91357,SRMAR,MT-G10T,"10"" TWIN MATTRESS 2.5""+1.5""+6""",Closed,,HE170759,10/08/2018,Promotional Price,,CA,US United States,1,149.00,1,149.00,5.760
"HOMELEGANCE, INC",ACEFA,ACE FURNITURE,Local Customer;,LEXKQ01;,ACEFA,ACE FURNITURE,S91357,SRMAR,MT-G10Q,"10"" QUEEN MATTRESS 2.5""+1.5""+6""",Closed,,HE170759,10/08/2018,Promotional Price,,CA,US United States,1,209.00,1,209.00,8.760
