Model,Status,Additional_Description,Description,Location_ID,Price,Current can sell Qty,Confirmed,Estimated?,Product Origin Code,Weight,CBF,Master Pack,Catalog_Page
101N,DS,,\NATURAL CHAIR W/BACK CUSHION,HMLG,30.00(Unit Price),0,,,MCCS,7.74,1.5,2,
102,DS,,"T HDBD,VICTORIAN OAK FINISH",HMLG,,0,,,MCCS,27,2.33,1,
103,DS,,"TWIN HEADBOARD, SOLID WOOD, OAK MISSN",HMLG,49.00(Unit Price),0,,,MCCS,27,1.69,1,XXY-71
103QF,DS,,QUEEN / FULL HEADBOARD,HMLG,69.00(Unit Price),0,,,MCCS,30,2.7,1,XXY-71
104,DS,,"T HDBD, SOLID WOOD MISSION",HMLG,,0,,,MCCS,33.21,2.6,1,
106QF,DS,,"QUEEN / FULL HEADBOARD, CHERRY",HMLG,129.00(Unit Price),0,,,MCCS,48,7.82,1,XXY-71
107,DS,,"TWIN HEADBOARD, CHERRY",HMLG,33.00(Promotional Price),0,,,MCCS,33.2,1.97,1,XXY-71
107QF,DS,,QUEEN / FULL HEADBOARD,HMLG,75.00(Unit Price),0,,,MCCS,36.5,2.6,1,XXY-71
108,DS,,"T HDBD, OAK FINISH",HMLG,,0,,,MCCS,28,1.63,1,
109,DS,,"T HDBD, WHITE",HMLG,,0,,,MCCS,28,1.4,1,
110,DS,,"TWIN HEADBOARD, WHITE",HMLG,33.00(Promotional Price),0,,,MCCS,26.56,1.4,1,XXY-71
1107BGD,DS,TBDS,"\SWIVEL STOOL,BURGUNDY, 1PC/CTN",HMLG,32.00(Promotional Price),0,,,CGDT,24.97,5.15,1,XD-210
1107BLK,DS,TBDS,"\SWIVEL STOOL, BLACK, 1PC/CTN",HMLG,45.00(Promotional Price),0,,,CGDT,24.97,5.15,1,XD-210
1108BLK,DS,,"\SWIVEL STOOL, BLACK PU",HMLG,59.00(Unit Price),0,,,CGDT,24.2,3.8,2,XD-210
1108RED,DS,TBDS,"\SWIVEL STOOL, RED PU",HMLG,25.00(Promotional Price),0,,,CGDT,24.2,3.8,2,XD-210
1108WHT,DS,,"\SWIVEL STOOL, WHITE PU",HMLG,59.00(Unit Price),0,,,CGDT,24.2,3.8,2,XD-210
110QF,DS,TBDS,QUEEN / FULL HEADBOARD,HMLG,23.00(Promotional Price),0,,,MCCS,26.4,2.26,1,XXY-71
1131-24S,IN,,SWIVEL COUNTER HEIGHT CHAIR,HMLG,67.00(Unit Price),333,20 04/22/2018,,MCES,23.65,2.61,1,D-194
1131-29S,IN,,SWIVEL PUB CHAIR,HMLG,71.00(Unit Price),170,35 04/01/2018,,MCES,24.53,2.61,1,D-194
1132-29S,DS,TBDS,"\SWIVEL PUB CHAIR, OAK FIN, 1PC",HMLG,,0,,,MCES,26.78,3.11,1,
1133-24S,IN,,SWIVEL COUNTER HEIGHT CHAIR,HMLG,71.00(Unit Price),166,60 04/01/2018,20 05/27/2018,MCES,24.97,2.82,1,D-194
1133-29S,IN,,SWIVEL PUB CHAIR,HMLG,77.00(Unit Price),128,60 04/01/2018,40 05/27/2018,MCES,26.07,2.82,1,D-194
1134-29S,DS,,"\SWIVEL PUB CHAIR, OAK FIN, 1PC",HMLG,39.00(Unit Price),0,,,MCES,26.78,3.11,1,
1136-24S,DS,TBDS,SWIVEL COUNTER HEIGHT CHAIR,HMLG,67.00(Unit Price),0,,,MCES,26.78,2.82,1,XD-206
1136-29S,DS,TBDS,SWIVEL PUB CHAIR,HMLG,71.00(Unit Price),0,,,MCES,28.6,2.82,1,XD-206
1140E-24S,IN,,SWIVEL COUNTER HEIGHT CHAIR,HMLG,61.00(Unit Price),125,"120 04/01/2018
104 04/22/2018","16 04/21/2018
127 05/27/2018",MCES,23.32,2.61,1,D-194
1140E-29S,IN,,SWIVEL PUB CHAIR,HMLG,67.00(Unit Price),192,"5 04/01/2018
35 04/22/2018","15 04/21/2018
30 05/27/2018",MCES,23.98,2.61,1,D-194
1142E-24S,DS,,SWIVEL COUNTER HEIGHT CHAIR,HMLG,61.00(Unit Price),0,,,MCES,26.62,2.61,1,XD-205
1142E-29S,DS,,SWIVEL PUB CHAIR,HMLG,38.00(Promotional Price),0,,,MCES,27.36,2.61,1,XD-205
1144E-24S,IN,,SWIVEL COUNTER HEIGHT CHAIR,HMLG,61.00(Unit Price),247,"70 04/01/2018
109 04/22/2018",,MCES,23.76,2.61,1,D-194
1144E-29S,IN,,SWIVEL PUB CHAIR,HMLG,67.00(Unit Price),73,9 04/01/2018,,MCES,24.31,2.61,1,D-194
1145BLK,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,21.00(Unit Price),1,,,CGDT,14.74,1.73,2,XD-192
1145RED,DS,,AIRLIFT SWIVEL STOOL,HMLG,21.00(Unit Price),0,,,CGDT,14.74,1.73,2,XD-192
1145WHT,DS,,AIRLIFT SWIVEL STOOL,HMLG,21.00(Unit Price),0,,,CGDT,14.75,1.73,2,XD-192
1146BLK,DS,TBDS,AIRLIFT SWIVEL STOOL,HMLG,21.00(Unit Price),0,,,CGDT,16.5,1.05,2,XD-208
1146RED,DS,TBDS,AIRLIFT SWIVEL STOOL,HMLG,21.00(Unit Price),2,,,CGDT,16.5,1.05,2,XD-208
1146WHT,DS,TBDS,AIRLIFT SWIVEL STOOL,HMLG,21.00(Unit Price),0,,,CGDT,16.5,1.05,2,XD-208
1147BLK,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,27.00(Unit Price),126,,,CGDT,14.85,2.59,2,D-192
1147RED,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,27.00(Unit Price),59,,,CGDT,14.85,2.59,2,D-192
1147WHT,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,27.00(Unit Price),88,,,CGDT,14.85,2.59,2,D-192
1148BLK,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,30.00(Unit Price),77,,350 04/25/2018,CGDT,16.28,1.99,2,D-193
1148RED,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,30.00(Unit Price),196,,100 04/25/2018,CGDT,16.28,1.99,2,D-193
1148WHT,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,30.00(Unit Price),107,,100 04/25/2018,CGDT,16.28,1.99,2,D-193
1149BLK,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,37.00(Unit Price),146,,,CGDT,16.72,2.17,2,D-193
1149RED,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,37.00(Unit Price),102,,,CGDT,16.72,2.17,2,D-193
1149WHT,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,37.00(Unit Price),51,,30 04/25/2018,CGDT,16.72,2.17,2,D-193
1153BLK,DS,,AIRLIFT SWIVEL STOOL,HMLG,41.00(Unit Price),0,,,CGDT,18.48,1.94,2,XXD-214
1153RED,DS,,AIRLIFT SWIVEL STOOL,HMLG,41.00(Unit Price),0,,,CGDT,18.48,1.94,2,XXD-214
1153WHT,DS,,AIRLIFT SWIVEL STOOL,HMLG,41.00(Unit Price),0,,,CGDT,18.48,1.94,2,XXD-214
1155BLK,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,37.00(Unit Price),76,,,CGDT,23.1,1.97,2,XD-192
1155RED,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,37.00(Unit Price),37,,,CGDT,23.1,1.97,2,XD-192
1155WHT,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,37.00(Unit Price),58,,,CGDT,23.1,1.97,2,XD-192
