Location,Customer ID,Customer Name,Contact Type,Catalog Type,Ship To ID,Ship To Name,Sales Order,Salesman,Model,Model Description,Status,Sub Status,Invoice,Invoice Date,Price Name,Channel,State,Country,Order Qty,Order Price,Shipped Qty,Shipped Price,Shipped CBF
"HOMELEGANCE, INC",UTACT,ACTIONWOOD MFG. INC,O/S Customer;,AMZ01;,UTACT,ACTIONWOOD MFG. INC,S88624,SRSTE,8378GRY-L,"(1/2) LSF 3-SEATER W/ RSF BACKREST, GREY PU",Closed,,HE165748,09/04/2018,Promotional Price,,UT,US United States,1,149.88,1,149.88,22.730
"HOMELEGANCE, INC",UTACT,ACTIONWOOD MFG. INC,O/S Customer;,AMZ01;,UTACT,ACTIONWOOD MFG. INC,S88624,SRSTE,8378GRY-R,"(2/2) RSF CHAISE W/ LSF BACKREST, GREY PU",Closed,,HE165748,09/04/2018,Promotional Price,,UT,US United States,1,149.12,1,149.12,23.910
"HOMELEGANCE, INC",UTACT,ACTIONWOOD MFG. INC,O/S Customer;,AMZ01;,UTACT,ACTIONWOOD MFG. INC,S88624,SRSTE,8378GRY-4,"OTTOMAN, GREY PU",Closed,,HE165748,09/04/2018,Promotional Price,,UT,US United States,1,59.00,1,59.00,10.380
"HOMELEGANCE, INC",UTACT,ACTIONWOOD MFG. INC,O/S Customer;,AMZ01;,UTACT,ACTIONWOOD MFG. INC,S88624,SRSTE,9924GRY-L,"(1/2) LSF 2-SEATER, GRAY AIREHYDE MATCH",Closed,,HE165748,09/04/2018,Promotional Price,,UT,US United States,2,351.76,2,351.76,67.027
"HOMELEGANCE, INC",UTACT,ACTIONWOOD MFG. INC,O/S Customer;,AMZ01;,UTACT,ACTIONWOOD MFG. INC,S88624,SRSTE,9924GRY-R,(2/2) RSF CHAISE,Closed,,HE165748,09/04/2018,Promotional Price,,UT,US United States,2,346.24,2,346.24,62.675
"HOMELEGANCE, INC",UTACT,ACTIONWOOD MFG. INC,O/S Customer;,AMZ01;,UTACT,ACTIONWOOD MFG. INC,S88624,SRSTE,9924GRY-4,OTTOMAN,Closed,,HE165748,09/04/2018,Promotional Price,,UT,US United States,2,198.00,2,198.00,39.889
"HOMELEGANCE, INC",UTACT,ACTIONWOOD MFG. INC,O/S Customer;,,UTACT,ACTIONWOOD MFG. INC,S88995,SRSTE,1927-5,DRESSER,Closed,,HE166185,09/06/2018,Unit Price,,UT,US United States,1,349.00,1,349.00,25.667
"HOMELEGANCE, INC",UTACT,ACTIONWOOD MFG. INC,O/S Customer;,AMZ01;,UTACT,ACTIONWOOD MFG. INC,S88995,SRSTE,1744-1,(1/2) QUEEN HEABOARD,Closed,,HE166185,09/06/2018,Unit Price,,UT,US United States,1,109.88,1,109.88,20.050
"HOMELEGANCE, INC",UTACT,ACTIONWOOD MFG. INC,O/S Customer;,AMZ01;,UTACT,ACTIONWOOD MFG. INC,S88995,SRSTE,1744-3,(2/2) QUEEN FB & RL & 13 SLATS,Closed,,HE166185,09/06/2018,Unit Price,,UT,US United States,1,129.12,1,129.12,13.430
"HOMELEGANCE, INC",UTACT,ACTIONWOOD MFG. INC,O/S Customer;,,UTACT,ACTIONWOOD MFG. INC,S88995,SRSTE,1744-9,CHEST,Closed,,HE166185,09/06/2018,Unit Price,,UT,US United States,1,279.00,1,279.00,27.640
