Location,Customer ID,Customer Name,Contact Type,Catalog Type,Ship To ID,Ship To Name,Sales Order,Salesman,Model,Model Description,Status,Sub Status,Invoice,Invoice Date,Price Name,Channel,State,Country,Order Qty,Order Price,Shipped Qty,Shipped Price,Shipped CBF
"HOMELEGANCE, INC",UTACT,ACTIONWOOD MFG. INC,O/S Customer;,AMZ01;AMZ02;,UTACT,ACTIONWOOD MFG. INC,S98955,SRSTE,1372-36,Counter Height Table,Closed,,HE185615,01/03/2019,Unit Price,,UT,US United States,1,209.00,1,209.00,12.000
"HOMELEGANCE, INC",UTACT,ACTIONWOOD MFG. INC,O/S Customer;,AMZ01;AMZ02;,UTACT,ACTIONWOOD MFG. INC,S98955,SRSTE,1372-24,Counter Height Chair,Closed,,HE185615,01/03/2019,Unit Price,,UT,US United States,6,312.00,6,312.00,19.620
"HOMELEGANCE, INC",UTACT,ACTIONWOOD MFG. INC,O/S Customer;,,UTACT,ACTIONWOOD MFG. INC,S98955,SRSTE,5520-78,Dining Table,Closed,,HE185615,01/03/2019,Unit Price,,UT,US United States,1,245.00,1,245.00,12.542
"HOMELEGANCE, INC",UTACT,ACTIONWOOD MFG. INC,O/S Customer;,AMZ01;,UTACT,ACTIONWOOD MFG. INC,S98955,SRSTE,5520S,Side Chair,Closed,,HE185615,01/03/2019,Unit Price,,UT,US United States,4,184.00,4,184.00,9.847
"HOMELEGANCE, INC",UTACT,ACTIONWOOD MFG. INC,O/S Customer;,AMZ01;AMZ02;,UTACT,ACTIONWOOD MFG. INC,S98955,SRSTE,5520-13,48” Bench,Closed,,HE185615,01/03/2019,Unit Price,,UT,US United States,1,71.00,1,71.00,2.469
"HOMELEGANCE, INC",UTACT,ACTIONWOOD MFG. INC,O/S Customer;,AMZ01;,UTACT,ACTIONWOOD MFG. INC,S98955,SRSTE,8378GRY-L,(1/2)Left Side 3-Seater,Closed,,HE185615,01/03/2019,Promotional Price,,UT,US United States,2,319.76,2,319.76,45.460
"HOMELEGANCE, INC",UTACT,ACTIONWOOD MFG. INC,O/S Customer;,AMZ01;,UTACT,ACTIONWOOD MFG. INC,S98955,SRSTE,8378GRY-R,(2/2)Right Side Chaise,Closed,,HE185615,01/03/2019,Promotional Price,,UT,US United States,2,318.24,2,318.24,47.820
"HOMELEGANCE, INC",UTACT,ACTIONWOOD MFG. INC,O/S Customer;,AMZ01;,UTACT,ACTIONWOOD MFG. INC,S98955,SRSTE,1744K-1EK,(1/2)Eastern King Headboard,Closed,,HE185615,01/03/2019,Unit Price,,UT,US United States,1,159.88,1,159.88,24.670
"HOMELEGANCE, INC",UTACT,ACTIONWOOD MFG. INC,O/S Customer;,AMZ01;,UTACT,ACTIONWOOD MFG. INC,S98955,SRSTE,1744K-3EK,(2/2)Eastern King Footboard & Rails & 13 Slats,Closed,,HE185615,01/03/2019,Unit Price,,UT,US United States,1,159.12,1,159.12,14.450
"HOMELEGANCE, INC",UTACT,ACTIONWOOD MFG. INC,O/S Customer;,AMZ01;,UTACT,ACTIONWOOD MFG. INC,S98955,SRSTE,2425-36,5-Piece Pack Counter Height Set,Closed,,HE185615,01/03/2019,Unit Price,,UT,US United States,1,215.00,1,215.00,13.900
