Location,Customer ID,Customer Name,Contact Type,Catalog Type,Ship To ID,Ship To Name,Sales Order,Salesman,Model,Model Description,Status,Sub Status,Invoice,Invoice Date,Price Name,Channel,State,Country,Order Qty,Order Price,Shipped Qty,Shipped Price,Shipped CBF
"HOMELEGANCE, INC",TXALY,ALYSON JON INTERIORS,O/S Customer;,,WAPAC,NW HOME FURNISHING DBA PACIFIC FURNITURE GALLERY,S104600,SRTOD,1385K-1,(1/3) CK/EK HDBD,Closed,,HE196943,03/05/2019,Unit Price,,TX,US United States,1,194.88,1,194.88,20.502
"HOMELEGANCE, INC",TXALY,ALYSON JON INTERIORS,O/S Customer;,,WAPAC,NW HOME FURNISHING DBA PACIFIC FURNITURE GALLERY,S104600,SRTOD,1385K-2,(2/3) CK/EK FTBD,Closed,,HE196943,03/05/2019,Unit Price,,TX,US United States,1,134.06,1,134.06,8.847
"HOMELEGANCE, INC",TXALY,ALYSON JON INTERIORS,O/S Customer;,,WAPAC,NW HOME FURNISHING DBA PACIFIC FURNITURE GALLERY,S104600,SRTOD,1385K-3CK,(3/3) CK RL&SL,Closed,,HE196943,03/05/2019,Unit Price,,TX,US United States,1,50.06,1,50.06,2.461
"HOMELEGANCE, INC",TXALY,ALYSON JON INTERIORS,O/S Customer;,,WAPAC,NW HOME FURNISHING DBA PACIFIC FURNITURE GALLERY,S104600,SRTOD,1385-5,DRESSER,Closed,,HE196943,03/05/2019,Unit Price,,TX,US United States,1,329.00,1,329.00,36.896
"HOMELEGANCE, INC",TXALY,ALYSON JON INTERIORS,O/S Customer;,,WAPAC,NW HOME FURNISHING DBA PACIFIC FURNITURE GALLERY,S104600,SRTOD,1385-9,CHEST,Closed,,HE196943,03/05/2019,Unit Price,,TX,US United States,1,275.00,1,275.00,30.200
"HOMELEGANCE, INC",TXALY,ALYSON JON INTERIORS,O/S Customer;,,WAPAC,NW HOME FURNISHING DBA PACIFIC FURNITURE GALLERY,S104600,SRTOD,1385-4,NIGHT STAND,Closed,,HE196943,03/05/2019,Unit Price,,TX,US United States,2,264.00,2,264.00,23.800
"HOMELEGANCE, INC",TXALY,ALYSON JON INTERIORS,O/S Customer;,,WAPAC,NW HOME FURNISHING DBA PACIFIC FURNITURE GALLERY,S104600,SRTOD,3508-04,End Table With Glass Insert,Closed,,HE196943,03/05/2019,Unit Price,,TX,US United States,1,65.00,1,65.00,2.631
"HOMELEGANCE, INC",TXALY,ALYSON JON INTERIORS,O/S Customer;,AMZ01;,WAPAC,NW HOME FURNISHING DBA PACIFIC FURNITURE GALLERY,S104600,SRTOD,5585S,Side Chair,Closed,,HE196943,03/05/2019,Unit Price,,TX,US United States,4,184.00,4,184.00,8.800
"HOMELEGANCE, INC",TXALY,ALYSON JON INTERIORS,O/S Customer;,AMZ01;AMZ02;,WAPAC,NW HOME FURNISHING DBA PACIFIC FURNITURE GALLERY,S104600,SRTOD,2159-4,"Night Stand, Hidden Drawer",Closed,,HE196943,03/05/2019,Unit Price,,TX,US United States,1,145.00,1,145.00,10.135
"HOMELEGANCE, INC",TXALY,ALYSON JON INTERIORS,O/S Customer;,AMZ01;,WAPAC,NW HOME FURNISHING DBA PACIFIC FURNITURE GALLERY,S104600,SRTOD,5566-24BK,"Swivel  Counter  Height Chair, Black",Closed,,HE196943,03/05/2019,Unit Price,,TX,US United States,2,82.00,2,82.00,6.600
"HOMELEGANCE, INC",TXALY,ALYSON JON INTERIORS,O/S Customer;,AMZ01;,WAPAC,NW HOME FURNISHING DBA PACIFIC FURNITURE GALLERY,S104600,SRTOD,5566-24GY,"Swivel Counter Height Chair, Gray",Closed,,HE196943,03/05/2019,Unit Price,,TX,US United States,2,82.00,2,82.00,6.600
"HOMELEGANCE, INC",TXALY,ALYSON JON INTERIORS,O/S Customer;,,WAPAC,NW HOME FURNISHING DBA PACIFIC FURNITURE GALLERY,S104646,SRTOD,5673GY-84,Dining Table,Closed,,HE196944,03/05/2019,Promotional Price,,TX,US United States,1,165.00,1,165.00,14.300
"HOMELEGANCE, INC",TXALY,ALYSON JON INTERIORS,O/S Customer;,,WAPAC,NW HOME FURNISHING DBA PACIFIC FURNITURE GALLERY,S104646,SRTOD,5673GYS,Side Chair,Closed,,HE196944,03/05/2019,Promotional Price,,TX,US United States,4,148.00,4,148.00,15.600
"HOMELEGANCE, INC",TXALY,ALYSON JON INTERIORS,O/S Customer;,AMZ01;AMZ02;,WAPAC,NW HOME FURNISHING DBA PACIFIC FURNITURE GALLERY,S104646,SRTOD,1730-1,(1/3)Queen Headboard,Closed,,HE196944,03/05/2019,Promotional Price,,TX,US United States,1,60.88,1,60.88,7.700
"HOMELEGANCE, INC",TXALY,ALYSON JON INTERIORS,O/S Customer;,AMZ01;AMZ02;,WAPAC,NW HOME FURNISHING DBA PACIFIC FURNITURE GALLERY,S104646,SRTOD,1730-2,(2/3)Queen Footboard with Slats & Support Legs,Closed,,HE196944,03/05/2019,Promotional Price,,TX,US United States,1,31.06,1,31.06,2.310
"HOMELEGANCE, INC",TXALY,ALYSON JON INTERIORS,O/S Customer;,AMZ01;AMZ02;,WAPAC,NW HOME FURNISHING DBA PACIFIC FURNITURE GALLERY,S104646,SRTOD,1730-3,(3/3)Queen/Eastern King Side Rails,Closed,,HE196944,03/05/2019,Promotional Price,,TX,US United States,1,27.06,1,27.06,2.300
"HOMELEGANCE, INC",TXALY,ALYSON JON INTERIORS,O/S Customer;,AMZ01;,WAPAC,NW HOME FURNISHING DBA PACIFIC FURNITURE GALLERY,S104646,SRTOD,1730-4,Night Stand,Closed,,HE196944,03/05/2019,Promotional Price,,TX,US United States,1,69.00,1,69.00,10.690
"HOMELEGANCE, INC",TXALY,ALYSON JON INTERIORS,O/S Customer;,,WAPAC,NW HOME FURNISHING DBA PACIFIC FURNITURE GALLERY,S104646,SRTOD,1730-5,Dresser,Closed,,HE196944,03/05/2019,Promotional Price,,TX,US United States,1,169.00,1,169.00,34.450
