Location,Customer ID,Customer Name,Contact Type,Catalog Type,Ship To ID,Ship To Name,Sales Order,Salesman,Model,Model Description,Status,Sub Status,Invoice,Invoice Date,Price Name,Channel,State,Country,Order Qty,Order Price,Shipped Qty,Shipped Price,Shipped CBF
"HOMELEGANCE, INC",WA72A,72ND AVE BARGAIN CENTER,O/S Customer;,AMZ01;AMZ02;,WA72A,72ND AVE BARGAIN CENTER,S69117,SRTOD,9914-2LCN,(2/3) LSF RECLNR LOVE SEAT W/ CONSOLE,Closed,,HE130895,02/12/2018,Promotional Price,,WA,US United States,1,225.06,1,225.06,29.672
"HOMELEGANCE, INC",WA72A,72ND AVE BARGAIN CENTER,O/S Customer;,AMZ01;AMZ02;,WA72A,72ND AVE BARGAIN CENTER,S69117,SRTOD,9914-2RCN,(1/3) RSF RECLNR LOVE SEAT W/ CONSOLE,Closed,,HE130895,02/12/2018,Promotional Price,,WA,US United States,1,224.88,1,224.88,29.672
"HOMELEGANCE, INC",WA72A,72ND AVE BARGAIN CENTER,O/S Customer;,AMZ01;AMZ02;,WA72A,72ND AVE BARGAIN CENTER,S69117,SRTOD,9914-CR,(3/3) CORNER SEAT,Closed,,HE130895,02/12/2018,Promotional Price,,WA,US United States,1,149.06,1,149.06,29.190
"HOMELEGANCE, INC",WA72A,72ND AVE BARGAIN CENTER,O/S Customer;,AMZ01;,WA72A,72ND AVE BARGAIN CENTER,S69117,SRTOD,586GY-14,"60IN BENCH, P/U, GREY FINISH",Closed,,HE130895,02/12/2018,Unit Price,,WA,US United States,1,76.00,1,76.00,4.051
"HOMELEGANCE, INC",WA72A,72ND AVE BARGAIN CENTER,O/S Customer;,AMZ01;,WA72A,72ND AVE BARGAIN CENTER,S69117,SRTOD,5179-13,BENCH,Closed,,HE130895,02/12/2018,Unit Price,,WA,US United States,1,89.00,1,89.00,6.800
"HOMELEGANCE, INC",WA72A,72ND AVE BARGAIN CENTER,O/S Customer;,AMZ01;AMZ02;,WA72A,72ND AVE BARGAIN CENTER,S69117,SRTOD,586-14,"60"" BENCH",Closed,,HE130895,02/12/2018,Promotional Price,,WA,US United States,1,70.00,1,70.00,4.051
"HOMELEGANCE, INC",WA72A,72ND AVE BARGAIN CENTER,O/S Customer;,AMZ01;,WA72A,72ND AVE BARGAIN CENTER,S69117,SRTOD,8401GY-3SC,"REVERSIBLE SOFA CHAISE WITH 2 PILLOWS, GRAY FABRIC & P/U",Closed,,HE130895,02/12/2018,Promotional Price,,WA,US United States,1,199.00,1,199.00,34.767
"HOMELEGANCE, INC",WA72A,72ND AVE BARGAIN CENTER,O/S Customer;,,WA72A,72ND AVE BARGAIN CENTER,S71194,SRTOD,2147BK-1,"(1/2) QN HB & FB, L.PHILIP, BLK",Closed,,HE134888,03/06/2018,Unit Price,,WA,US United States,1,99.88,1,99.88,6.148
"HOMELEGANCE, INC",WA72A,72ND AVE BARGAIN CENTER,O/S Customer;,,WA72A,72ND AVE BARGAIN CENTER,S71194,SRTOD,2147BK-3,"(2/2) QN RL & SL, BLK",Closed,,HE134888,03/06/2018,Unit Price,,WA,US United States,1,29.12,1,29.12,1.070
"HOMELEGANCE, INC",WA72A,72ND AVE BARGAIN CENTER,O/S Customer;,AMZ01;,WA72A,72ND AVE BARGAIN CENTER,S71194,SRTOD,9700FCP-2,"DOUBLE RECLINING LOVE SEAT, CHOCOLATE TEXTURED PLUSH MICROFIBER AND DARK BROWN PU",Closed,,HE134888,03/06/2018,Promotional Price,,WA,US United States,2,518.00,2,518.00,53.020
"HOMELEGANCE, INC",WA72A,72ND AVE BARGAIN CENTER,O/S Customer;,AMZ01;,WA72A,72ND AVE BARGAIN CENTER,S71194,SRTOD,9700FCP-1,"RECLINER CHAIR, CHOCOLATE TEXTURED PLUSH MICROFIBER AND DARK BROWN PU",Closed,,HE134888,03/06/2018,Promotional Price,,WA,US United States,1,179.00,1,179.00,15.550
"HOMELEGANCE, INC",WA72A,72ND AVE BARGAIN CENTER,O/S Customer;,,WA72A,72ND AVE BARGAIN CENTER,S74759,SRTOD,5520-78,"DINING TBL, SOLID WOOD TOP, BTFLY, 2-TONE",Closed,,HE143246,04/18/2018,Unit Price,,WA,US United States,1,239.00,1,239.00,12.542
"HOMELEGANCE, INC",WA72A,72ND AVE BARGAIN CENTER,O/S Customer;,AMZ01;,WA72A,72ND AVE BARGAIN CENTER,S74759,SRTOD,5520S,"\SIDE CHAIR, ANTIQUE GREY & COFFEE",Closed,,HE143246,04/18/2018,Unit Price,,WA,US United States,6,270.00,6,270.00,14.770
