number,sales_year
586,131984.14
1372,126729.39
5547,77615.89
5473,65415.0
5400,53439.19
2544,51816.68
2456,47596.34
2601,44887.18
586GY,39107.85
2243,33919.69
5520,31829.65
2423,31727.04
5438,26526.01
5055,25097.8
5056,24611.5
2546,23868.79
5431,21961.78
2425,20668.84
5545,19621.73
5494,18615.09
5627W,17544.24
5179,17417.75
5425,15031.26
5104,14846.9
1808,14623.07
710,14464.54
710W,14430.56
5103,14103.32
5267RF,14081.12
5050,12466.85
2615DC,12333.54
2469,12202.23
5480,12144.99
1867,11896.35
2588,11119.27
626,11074.77
2529,10643.36
5510,10601.39
5518,10416.5
2515,10398.62
5275,10345.86
5328,10091.13
5162WW,9779.46
1394,9761.98
5511,9747.72
5123,9690.76
727,9679.0
5544,9625.62
2528,9277.29
5536,9268.12
5428,9136.29
2514BK,9067.66
2459,8837.0
5473A,8760.0
5585,8714.73
5566,8595.4
1935,8505.85
5572,8495.0
1958,8478.96
5163,8439.74
5460,8248.75
5108,8235.56
5415RF,8213.83
5251,8043.94
5545A,7993.0
1715,7861.14
5447,7761.67
5489,7607.0
1393W,7513.78
5285,7391.0
2524,7089.07
5023,6740.84
1393BK,6681.92
1390,6602.0
5147BK,6540.03
3270,6440.33
2538,6436.86
2505BK,6367.08
2243A,6341.7
5052,6279.0
5569,6166.08
5589,5899.51
5531,5831.57
5302C,5725.6
1131,5519.4
5559N,5485.2
5509,5432.12
5470,5386.05
2617N,5306.58
5532,5283.58
5167,5256.18
1928,5220.69
5602,5136.5
2458,5110.46
5477N,5038.0
5302BK,4836.47
5177,4797.92
1824,4684.8
5479,4673.23
2466,4667.05
5056A,4569.76
5055A,4561.22
2558,4554.19
5562RF,4527.35
5429,4435.42
5302A,4424.72
1133,4371.73
5409,4179.1
5488,4154.4
1144E,4102.97
5327,4057.65
5538BK,3842.48
5516,3811.33
5456,3721.62
5606,3713.1
5100,3627.71
2547,3607.6
5167F,3420.0
5513,3407.0
2546A,3397.0
5423,3356.64
5411RF,3285.05
5267RFA,3270.9
5673GY,3261.0
5235,3145.15
1947,3050.03
5469,3002.67
5067,2982.37
5070,2964.83
5562,2948.0
5608,2947.15
5516TL,2903.98
5494A,2827.0
5527,2765.0
5466,2756.6
